state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner,inc,tot_rec
AL,Alabama,2,H0AL02087,martha,roby,martha roby,Republican,134886,0.487685477106413,1,Incumbent,1404260.12
AL,Alabama,2,H6AL02167,nathan,mathis,nathan mathis,Democrat,112089,0.405262054204148,0,Challenger,36844.0
AL,Alabama,3,H2AL03032,mike,rogers,mike rogers,Republican,192164,0.66931843513152,1,Incumbent,1139022.37
AL,Alabama,3,H4AL03061,jesse,smith,jesse smith,Democrat,94549,0.329319689032546,0,Challenger,9810.0
AL,Alabama,5,H0AL05163,mo,brooks,mo brooks,Republican,205647,0.666979106530101,1,Incumbent,476225.18
AL,Alabama,5,H6AL05202,will,boyd,will boyd,Democrat,102234,0.331577615900054,0,Challenger,61311.93
AL,Alabama,6,H4AL06098,gary,palmer,gary palmer,Republican,245313,0.744939357315081,1,Incumbent,1232446.2
AL,Alabama,6,H6AL06127,david,putman,david putman,Democrat,83709,0.254198222929433,0,Challenger,197378.52
AK,Alaska,0,H6AK00045,don,young,don young,Republican,155088,0.503208976047865,1,Incumbent,1103561.86
AK,Alaska,0,H6AK00235,steve,lindbeck,steve lindbeck,Democrat,111019,0.360219728875593,0,Challenger,1102309.77
AS,American Samoa,0,H4AS00036,aumua,amata,aumua amata,Republican,8923,0.754013858374176,1,Incumbent,78278.3
AS,American Samoa,0,H6AS00031,vaitinasa,hunkinfinau,vaitinasa hunkinfinau,Democrat,1581,0.133598107148893,0,Challenger,41670.0
AS,American Samoa,0,H4AS00069,paepaetele,jamias,paepaetele jamias,Democrat,978,0.0826432313672469,0,Challenger,11803.0
AZ,Arizona,1,H6AZ01199,tom,ohalleran,tom ohalleran,Democrat,142219,0.506640304941042,1,Open,1605996.95
AZ,Arizona,1,H2AZ04127,paul,babeu,paul babeu,Republican,121745,0.433703822450216,0,Open,1294238.74
AZ,Arizona,2,H2AZ08102,martha,mcsally,martha mcsally,Republican,179806,0.569584926460107,1,Incumbent,7878156.18
AZ,Arizona,4,H0AZ01259,paul,gosar,paul gosar,Republican,203487,0.714533522015008,1,Incumbent,707653.4
AZ,Arizona,4,H2AZ04143,mikel,weisser,mikel weisser,Democrat,81296,0.285466477984992,0,Challenger,36043.62
AZ,Arizona,5,H6AZ05083,andy,biggs,andy biggs,Republican,205184,0.640951631242893,1,Open,995666.43
AZ,Arizona,5,H6AZ05133,talia,fuentes,talia fuentes,Democrat,114940,0.359048368757107,0,Open,18657.82
AZ,Arizona,6,H4AZ06045,david,schweikert,david schweikert,Republican,201578,0.621302905894392,1,Incumbent,797747.29
