state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner
AL,Alabama,1,H4AL01123,bradley,byrne,bradley byrne,Republican,Unopposed,0.963824672407165,1
AL,Alabama,2,H0AL02087,martha,roby,martha roby,Republican,134886,0.487685477106413,1
AL,Alabama,2,H6AL02167,nathan,mathis,nathan mathis,Democrat,112089,0.405262054204148,0
AL,Alabama,3,H2AL03032,mike,rogers,mike rogers,Republican,192164,0.66931843513152,1
AL,Alabama,3,H4AL03061,jesse,smith,jesse smith,Democrat,94549,0.329319689032546,0
AL,Alabama,4,H6AL04098,robert,aderholt,robert aderholt,Republican,Unopposed,0.985303452999449,1
AL,Alabama,5,H0AL05163,mo,brooks,mo brooks,Republican,205647,0.666979106530101,1
AL,Alabama,5,H6AL05202,will,boyd,will boyd,Democrat,102234,0.331577615900054,0
AL,Alabama,6,H4AL06098,gary,palmer,gary palmer,Republican,245313,0.744939357315081,1
AL,Alabama,6,H6AL06127,david,putman,david putman,Democrat,83709,0.254198222929433,0
AL,Alabama,7,H0AL07086,terri,sewell,terri sewell,Democrat,Unopposed,0.984130662409668,1
AK,Alaska,0,H6AK00045,don,young,don young,Republican,155088,0.503208976047865,1
AK,Alaska,0,H6AK00235,steve,lindbeck,steve lindbeck,Democrat,111019,0.360219728875593,0
AK,Alaska,0,H2AK00143,jim,mcdermott,jim mcdermott,Other,31770,0.103083082953166,0
AK,Alaska,0,H6AK00300,bernie,souphanavong,bernie souphanavong,Other,9093,0.029503760569504,0
AS,American Samoa,0,H4AS00036,aumua,amata,aumua amata,Republican,8923,0.754013858374176,1
AS,American Samoa,0,H6AS00031,vaitinasa,hunkinfinau,vaitinasa hunkinfinau,Democrat,1581,0.133598107148893,0
AS,American Samoa,0,H4AS00069,paepaetele,jamias,paepaetele jamias,Democrat,978,0.0826432313672469,0
AS,American Samoa,0,H4AS00093,meleagi,suitonuchapman,meleagi suitonuchapman,Democrat,181,0.01529491296265,0
AS,American Samoa,0,H6AS00049,tim,jones,tim jones,Independent,171,0.014449890147034,0
AZ,Arizona,1,H6AZ01199,tom,ohalleran,tom ohalleran,Democrat,142219,0.506640304941042,1
AZ,Arizona,1,H2AZ04127,paul,babeu,paul babeu,Republican,121745,0.433703822450216,0
AZ,Arizona,1,H6AZ01264,ray,parrish,ray parrish,Other,16746,0.0596558726087421,0
AZ,Arizona,2,H2AZ08102,martha,mcsally,martha mcsally,Republican,179806,0.569584926460107,1
AZ,Arizona,2,H2AZ08078,matt,heinz,matt heinz,Democrat,135873,0.430415073539893,0
AZ,Arizona,3,H2AZ07070,ral,grijalva,ral grijalva,Democrat,Unopposed,0.986347535339491,1
AZ,Arizona,3,H6AZ03245,bill,abatecola,bill abatecola,Other,1303,0.0086271394047737,0
AZ,Arizona,3,H2AZ07161,jaime,vasquez,jaime vasquez,Other,332,0.002198165988016,0
AZ,Arizona,3,H6AZ03211,harvey,martin,harvey martin,Other,283,0.0018737378753269,0
AZ,Arizona,3,H4AZ03075,federico,sanchez,federico sanchez,Other,144,0.0009534213923924,0
AZ,Arizona,4,H0AZ01259,paul,gosar,paul gosar,Republican,203487,0.714533522015008,1
AZ,Arizona,4,H2AZ04143,mikel,weisser,mikel weisser,Democrat,81296,0.285466477984992,0
AZ,Arizona,5,H6AZ05083,andy,biggs,andy biggs,Republican,205184,0.640951631242893,1
AZ,Arizona,5,H6AZ05133,talia,fuentes,talia fuentes,Democrat,114940,0.359048368757107,0
AZ,Arizona,6,H4AZ06045,david,schweikert,david schweikert,Republican,201578,0.621302905894392,1
