fec_id,state_abbr,first_name,last_name,name,party,inc,tot_rec
H6AK00045,AK,donald,young,donald young,Republican,Incumbent,1103561.86
H6AK00235,AK,steve,lindbeck,steve lindbeck,Democrat,,1102309.77
H4AL01123,AL,bradley,byrne,bradley byrne,Republican,Incumbent,1367469.77
H6AL01060,AL,larry,young,larry young,Republican,Challenger,178766.88
H6AL02167,AL,nathan,mathis,nathan mathis,Democrat,Challenger,36844.0
H0AL02087,AL,martha,roby,martha roby,Republican,Incumbent,1404260.12
H6AL02142,AL,rebecca,gerritson,rebecca gerritson,Republican,Challenger,206908.19
H6AL02159,AL,robert,rogers,robert rogers,Republican,Challenger,25382.0
H4AL03061,AL,jesse,smith,jesse smith,Democrat,Challenger,9810.0
H2AL03032,AL,michael,rogers,michael rogers,Republican,Incumbent,1139022.37
H6AL03157,AL,larry,dichiara,larry dichiara,Republican,Challenger,64791.68
H6AL04098,AL,robert,aderholt,robert aderholt,Republican,Incumbent,1441035.62
H6AL04148,AL,phillip,norris,phillip norris,Republican,Challenger,3605.76
H6AL05202,AL,willie,boyd,willie boyd,Democrat,Challenger,61311.93
H0AL05163,AL,mo,brooks,mo brooks,Republican,Incumbent,476225.18
H6AL06127,AL,david,putman,david putman,Democrat,Challenger,197378.52
H4AL06098,AL,gary,palmer,gary palmer,Republican,Incumbent,1232446.2
H0AL07086,AL,terrycina,sewell,terrycina sewell,Democrat,Incumbent,1630079.97
H0AR01083,AR,eric,crawford,eric crawford,Republican,Incumbent,669501.96
H6AR02245,AR,dianne,curry,dianne curry,Democrat,Challenger,37666.34
H4AR02141,AR,james,hill,james hill,Republican,Incumbent,2240181.57
H6AR02252,AR,brock,olree,brock olree,Republican,Challenger,18454.97
H0AR03055,AR,steve,womack,steve womack,Republican,Incumbent,931782.13
H4AR04048,AR,bruce,westerman,bruce westerman,Republican,Incumbent,716791.26
H4AS00069,AS,mapu,jamias,mapu jamias,Democrat,Challenger,11803.0
H4AS00036,AS,aumua,amata,aumua amata,Republican,Incumbent,78278.3
H6AS00031,AS,vaitinasa,hunkinfinau,vaitinasa hunkinfinau,Democrat,,41670.0
H6AZ01199,AZ,tom,ohalleran,tom ohalleran,Democrat,Open,1605996.95
H6AZ01223,AZ,james,maloney,james maloney,Democrat,Open,94477.47
H8AZ01104,AZ,ann,kirkpatrick,ann kirkpatrick,Democrat,Incumbent,423178.9
H2AZ04127,AZ,paul,babeu,paul babeu,Republican,Open,1294238.74
H2AZ09035,AZ,wendy,rogers,wendy rogers,Republican,Open,498297.01
H4AZ01145,AZ,gary,kiehne,gary kiehne,Republican,Open,1125977.68
H6AZ01173,AZ,ken,bennett,ken bennett,Republican,Open,463873.44
H6AZ01207,AZ,shawn,redd,shawn redd,Republican,Open,38049.0
H6AZ01215,AZ,david,gowan,david gowan,Republican,Open,407463.03
H6AZ01249,AZ,carlyle,begay,carlyle begay,Republican,Open,92351.09
H6AZ01231,AZ,brian,malnes,brian malnes,Independent,Open,30000.0
H6AZ02171,AZ,victoria,steele,victoria steele,Democrat,Challenger,246846.83
H6AZ02189,AZ,matthew,heinz,matthew heinz,Democrat,Challenger,1585093.47
H2AZ08102,AZ,martha,mcsally,martha mcsally,Republican,Incumbent,7878156.18
H2AZ07070,AZ,raul,grijalva,raul grijalva,Democrat,Incumbent,664591.65
H6AZ03187,AZ,james,villarreal,james villarreal,Democrat,Challenger,10633.02
