1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2,,,,n/a,,,,,,,,,,,,,,,,,,
3,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
4,AL,Alabama,1,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,71310,0.601117770528286,,,208083,0.963824672407165,,,,,W,
5,AL,Alabama,1,H6AL01060,,Dean,Young,"Young, Dean",,R,47319,0.398882229471714,,,,,,,,,,
6,AL,Alabama,1,n/a,,,,,Party Votes:,R,118629,,,,,,,,,,,
7,AL,Alabama,1,n/a,,,Scattered,Scattered,,W,,,,,7810,0.0361753275928353,,,,,,
8,AL,Alabama,1,n/a,,,,,District Votes:,,118629,,,,215893,,,,,,,
9,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
10,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,78689,0.663706140350877,,,134886,0.487685477106413,,,,,W,
11,AL,Alabama,2,H6AL02142,,Becky,Gerritson,"Gerritson, Becky",,R,33015,0.278466599190283,,,,,,,,,,
12,AL,Alabama,2,H6AL02159,,"Robert L. ""Bob""",Rogers,"Rogers, Robert L. ""Bob""",,R,6856,0.0578272604588394,,,,,,,,,,
13,AL,Alabama,2,n/a,,,,,Party Votes:,R,118560,,,,,,,,,,,
14,AL,Alabama,2,H6AL02167,,Nathan ,Mathis,"Mathis, Nathan ",,D,Unopposed,,,,112089,0.405262054204148,,,,,,
15,AL,Alabama,2,n/a,,,Scattered,Scattered,,W,,,,,29609,0.10705246868944,,,,,,
16,AL,Alabama,2,n/a,,,,,District Votes:,,118560,,,,276584,,,,,,,
17,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
18,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,77432,0.759837497301435,,,192164,0.66931843513152,,,,,W,
19,AL,Alabama,3,H6AL03157,,Larry,DiChiara,"DiChiara, Larry",,R,24474,0.240162502698565,,,,,,,,,,
20,AL,Alabama,3,n/a,,,,,Party Votes:,R,101906,,,,,,,,,,,
21,AL,Alabama,3,H4AL03061,,Jesse,Smith,"Smith, Jesse",,D,Unopposed,,,,94549,0.329319689032546,,,,,,
22,AL,Alabama,3,n/a,,,Scattered,Scattered,,W,,,,,391,0.00136187583593402,,,,,,
23,AL,Alabama,3,n/a,,,,,District Votes:,,101906,,,,287104,,,,,,,
24,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
25,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,86660,0.811757652965641,,,235925,0.985303452999449,,,,,W,
